movie_id,title,year,rtAllCriticsRating,rtAudienceRating,rtAllCriticsNumReviews,rtAudienceNumRatings,rtAllCriticsScore,rtAudienceScore,directorName,country,genres,actorName
1,Toy Story,1995,9.0,3.7,73,102338,100,81,John Lasseter,USA,"('Animation', ""Children's"", 'Comedy')","('Don Rickles', 'Jim Varney', 'Tim Allen', 'Tom Hanks', 'Wallace Shawn')"
2,Jumanji,1995,5.6,3.2,28,44587,46,61,Joe Johnston,USA,"('Adventure', ""Children's"", 'Fantasy')","('Bebe Neuwirth', 'Bonnie Hunt', 'Bradley Pierce', 'Kirsten Dunst', 'Robin Williams')"
3,Grumpier Old Men,1995,5.9,3.2,36,10489,66,66,Donald Petrie,USA,"('Comedy', 'Romance')","('Ann-Margret', 'Burgess Meredith', 'Daryl Hannah', 'Jack Lemmon', 'Walter Matthau')"
4,Waiting to Exhale,1995,5.6,3.3,25,5666,56,79,Forest Whitaker,USA,"('Comedy', 'Drama')","('Angela Bassett', 'Gregory Hines', 'Lela Rochon', 'Loretta Devine', 'Whitney Houston')"
5,Father of the Bride Part II,1995,5.3,3.0,19,13761,47,64,Charles Shyer,USA,"('Comedy',)","('Diane Keaton', 'George Newbern', 'Kimberly Williams', 'Martin Short', 'Steve Martin')"
6,Heat,1995,7.7,3.9,58,42785,86,92,Michael Mann,USA,"('Action', 'Crime', 'Thriller')","('Al Pacino', 'Jon Voight', 'Robert De Niro', 'Tom Sizemore', 'Val Kilmer')"
7,Sabrina,1995,7.4,3.8,31,12812,90,87,Billy Wilder,USA,"('Comedy', 'Romance')","('John Williams (II)', 'Audrey Hepburn', 'Humphrey Bogart', 'Walter Hampden', 'William Holden')"
8,Tom and Huck,1995,4.2,2.7,8,2649,25,45,Peter Hewitt,USA,"('Adventure', ""Children's"")","('Amy Wright', 'Brad Renfro', 'Charles Rocket', 'Eric Schweig', 'Jonathan Taylor Thomas')"
9,Sudden Death,1995,5.2,2.6,32,3626,53,40,Peter Hyams,USA,"('Action',)","('Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Ross Malinger', 'Whittni Wright')"
10,GoldenEye,1995,6.8,3.4,41,28260,80,78,Martin Campbell,UK,"('Action', 'Adventure', 'Thriller')","('Famke Janssen', 'Izabella Scorupco', 'Joe Don Baker', 'Pierce Brosnan', 'Sean Bean')"
11,"American President, The",1995,7.0,3.2,49,8320,89,71,Rob Reiner,USA,"('Comedy', 'Drama', 'Romance')","('Annette Bening', 'David Paymer', 'Martin Sheen', 'Michael Douglas', 'Michael J. Fox')"
12,Dracula: Dead and Loving It,1995,3.0,2.8,35,10078,8,52,Mel Brooks,USA,"('Comedy', 'Horror')","('Amy Yasbeck', 'Leslie Nielsen', 'Lysette Anthony', 'Peter MacNicol', 'Steven Weber')"
13,Balto,1995,5.8,3.2,12,9195,50,66,Simon Wells,USA,"('Animation', ""Children's"")","('Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Kevin Bacon', 'Lola Bates-Campbell')"
