user_id,gender,age,occupation
1,0,12,K-12 student
2,1,60,self-employed
3,1,30,scientist
4,1,47,executive/managerial
5,1,30,writer
6,0,53,homemaker
7,1,40,academic/educator
8,1,30,programmer
9,1,30,technician/engineer
10,0,40,academic/educator
11,0,30,academic/educator
12,1,30,programmer
13,1,47,academic/educator
14,1,40,other
15,1,30,executive/managerial
16,0,40,other
17,1,53,academic/educator
18,0,21,clerical/admin
19,1,12,K-12 student
20,1,30,sales/marketing
21,1,21,self-employed
22,1,21,scientist
23,1,40,other
24,0,30,executive/managerial
25,1,21,college/grad student
26,1,30,executive/managerial
27,1,30,lawyer
28,0,30,academic/educator
29,1,40,executive/managerial
30,0,40,executive/managerial
31,1,60,executive/managerial
32,0,30,other
33,1,47,clerical/admin
34,0,21,other
35,1,47,academic/educator
36,1,30,clerical/admin
37,0,30,homemaker
38,0,21,college/grad student
39,1,21,college/grad student
40,1,47,other
41,0,21,college/grad student
42,1,30,farmer
43,1,30,programmer
44,1,47,technician/engineer
45,0,47,self-employed
46,1,21,unemployed
47,1,21,college/grad student
48,1,30,college/grad student
49,1,21,programmer
50,0,30,artist
51,0,12,K-12 student
52,1,21,college/grad student
53,1,30,other
54,1,53,academic/educator
55,0,40,programmer
56,1,40,writer
57,1,21,unemployed
58,1,30,artist
59,0,53,academic/educator
60,1,53,academic/educator
61,1,30,technician/engineer
62,0,40,clerical/admin
63,1,21,college/grad student
64,1,21,academic/educator
65,1,40,programmer
66,1,30,tradesman/craftsman
67,0,53,customer service
68,1,21,college/grad student
69,0,30,academic/educator
70,1,21,college/grad student
71,1,30,sales/marketing
72,0,47,other
73,1,21,college/grad student
74,1,40,sales/marketing
75,0,12,K-12 student
76,1,40,executive/managerial
77,1,21,college/grad student
78,0,47,academic/educator
79,0,47,other
80,1,60,academic/educator
81,0,30,other
82,1,30,technician/engineer
83,0,30,artist
84,1,21,college/grad student
85,1,21,college/grad student
86,0,12,K-12 student
87,1,30,sales/marketing
88,0,47,academic/educator
89,0,60,homemaker
90,1,60,retired
91,1,40,executive/managerial
92,0,21,college/grad student
93,1,30,technician/engineer
94,1,30,technician/engineer
95,1,47,other
96,0,30,self-employed
97,0,40,clerical/admin
98,0,40,executive/managerial
99,0,12,K-12 student
100,1,40,technician/engineer
101,0,21,clerical/admin
102,1,40,unemployed
103,1,47,executive/managerial
104,1,30,programmer
105,1,47,programmer
106,0,40,lawyer
107,1,47,tradesman/craftsman
108,1,30,programmer
109,1,47,scientist
110,1,30,artist
111,1,40,scientist
112,1,30,self-employed
113,1,21,programmer
114,0,30,artist
115,1,30,technician/engineer
116,1,30,technician/engineer
117,1,30,technician/engineer
118,1,40,technician/engineer
119,0,12,K-12 student
120,1,30,lawyer
121,1,40,executive/managerial
122,0,21,college/grad student
123,1,40,homemaker
124,1,60,executive/managerial
125,1,47,sales/marketing
126,1,21,homemaker
127,0,47,clerical/admin
128,1,60,doctor/health care
129,1,30,lawyer
130,1,40,technician/engineer
131,1,21,college/grad student
132,1,30,technician/engineer
133,0,30,other
134,1,30,other
135,1,21,college/grad student
136,1,21,artist
137,0,47,doctor/health care
138,1,21,writer
139,0,30,writer
140,0,40,academic/educator
141,1,40,retired
142,1,30,executive/managerial
143,1,21,clerical/admin
144,1,30,technician/engineer
145,1,21,college/grad student
146,0,40,writer
147,1,21,college/grad student
148,1,53,technician/engineer
149,1,30,academic/educator
150,1,40,executive/managerial
151,0,30,writer
152,1,21,college/grad student
153,1,12,K-12 student
154,1,53,writer
155,1,40,programmer
156,0,47,executive/managerial
157,1,40,self-employed
158,1,60,executive/managerial
159,0,47,other
160,1,40,executive/managerial
161,1,47,self-employed
162,0,21,college/grad student
163,1,21,college/grad student
164,0,60,retired
165,1,21,self-employed
166,1,21,college/grad student
167,0,30,lawyer
168,0,53,other
169,1,30,executive/managerial
170,1,30,lawyer
171,0,53,technician/engineer
172,1,30,clerical/admin
173,1,30,other
174,1,30,self-employed
175,0,30,artist
176,0,21,clerical/admin
177,1,53,academic/educator
178,1,60,technician/engineer
179,1,30,other
180,1,47,programmer
181,1,21,technician/engineer
182,1,21,college/grad student
183,0,47,academic/educator
184,0,30,other
185,1,47,other
186,1,21,customer service
187,0,47,academic/educator
188,1,60,self-employed
189,1,21,other
190,1,30,technician/engineer
191,1,21,college/grad student
192,1,21,academic/educator
193,0,47,scientist
194,0,12,K-12 student
195,1,30,programmer
196,0,40,homemaker
197,1,21,sales/marketing
198,1,30,programmer
199,1,21,college/grad student
200,0,21,college/grad student
201,0,40,artist
202,1,21,college/grad student
203,0,21,college/grad student
204,1,30,executive/managerial
205,1,40,programmer
206,1,30,technician/engineer
207,1,30,programmer
208,1,40,technician/engineer
209,1,40,academic/educator
210,0,12,K-12 student
211,1,47,technician/engineer
212,1,30,self-employed
213,0,21,college/grad student
214,1,21,writer
215,1,40,sales/marketing
216,1,47,retired
217,1,21,college/grad student
218,1,40,sales/marketing
219,0,30,college/grad student
220,1,30,programmer
221,0,30,other
222,1,30,academic/educator
223,1,30,technician/engineer
224,0,21,college/grad student
225,1,30,executive/managerial
226,1,40,academic/educator
227,1,40,writer
228,1,30,scientist
229,1,21,K-12 student
230,1,47,academic/educator
231,1,30,clerical/admin
232,1,30,writer
233,0,47,writer
234,1,40,executive/managerial
235,1,30,other
236,1,30,customer service
237,1,30,doctor/health care
238,0,53,executive/managerial
239,1,21,unemployed
240,1,53,technician/engineer
241,1,40,writer
242,0,21,college/grad student
243,1,30,self-employed
244,1,53,executive/managerial
245,1,40,self-employed
246,0,21,college/grad student
247,1,30,technician/engineer
248,1,21,technician/engineer
249,0,21,sales/marketing
250,1,40,self-employed
251,1,60,technician/engineer
252,1,30,programmer
253,0,30,lawyer
254,1,40,technician/engineer
255,1,40,other
256,1,47,self-employed
257,1,21,tradesman/craftsman
258,1,30,executive/managerial
259,1,30,academic/educator
260,1,21,unemployed
261,1,30,writer
262,0,30,academic/educator
263,0,30,executive/managerial
264,1,40,other
265,0,40,executive/managerial
266,1,40,lawyer
267,1,47,programmer
268,0,21,programmer
269,1,30,artist
270,1,53,sales/marketing
271,1,21,college/grad student
272,1,21,other
273,1,21,college/grad student
274,1,21,college/grad student
275,1,30,other
276,1,47,self-employed
277,0,40,academic/educator
278,1,47,tradesman/craftsman
279,1,30,sales/marketing
280,1,53,executive/managerial
281,0,40,other
282,1,30,technician/engineer
283,1,30,other
284,1,30,programmer
285,0,40,other
286,1,30,academic/educator
287,1,53,retired
288,0,30,programmer
289,0,30,other
290,0,30,writer
291,1,40,programmer
292,1,40,executive/managerial
293,1,60,academic/educator
294,0,47,homemaker
295,1,21,other
296,1,53,customer service
297,1,21,artist
298,0,21,college/grad student
299,1,30,programmer
300,1,30,executive/managerial
301,1,21,college/grad student
302,1,21,college/grad student
303,1,30,executive/managerial
304,1,30,other
305,0,21,other
306,1,21,other
307,1,53,self-employed
308,1,30,artist
309,1,30,college/grad student
310,0,21,college/grad student
311,1,21,college/grad student
312,0,53,artist
313,0,21,college/grad student
314,0,60,homemaker
315,0,60,academic/educator
316,1,60,retired
317,1,40,executive/managerial
318,0,60,retired
319,0,53,doctor/health care
320,1,40,doctor/health care
321,1,21,college/grad student
322,1,60,technician/engineer
323,1,47,programmer
324,1,40,technician/engineer
325,0,53,clerical/admin
326,1,53,lawyer
327,1,40,tradesman/craftsman
328,1,40,programmer
329,1,40,executive/managerial
330,1,60,executive/managerial
331,1,30,executive/managerial
332,1,53,academic/educator
333,1,40,artist
334,0,60,artist
335,1,40,tradesman/craftsman
336,1,21,other
337,1,21,unemployed
338,1,40,executive/managerial
339,1,53,executive/managerial
340,0,30,clerical/admin
341,0,60,retired
342,1,21,programmer
343,0,40,clerical/admin
344,1,40,sales/marketing
345,1,30,programmer
346,0,30,other
347,0,60,academic/educator
348,1,53,executive/managerial
349,1,12,K-12 student
350,1,47,writer
351,1,21,college/grad student
352,1,21,college/grad student
353,0,40,executive/managerial
354,1,40,academic/educator
355,1,21,clerical/admin
356,1,60,writer
357,1,21,other
358,0,60,academic/educator
359,1,30,technician/engineer
360,1,40,technician/engineer
361,0,30,sales/marketing
362,1,40,writer
363,1,21,K-12 student
364,0,40,academic/educator
365,0,21,college/grad student
366,1,53,scientist
367,1,53,programmer
368,1,30,other
369,1,40,academic/educator
370,1,21,technician/engineer
371,1,21,college/grad student
372,0,21,college/grad student
373,0,30,artist
374,0,40,sales/marketing
375,1,30,artist
376,1,40,academic/educator
377,1,30,technician/engineer
378,0,21,other
379,0,40,academic/educator
380,1,30,artist
381,1,40,technician/engineer
382,0,40,writer
383,0,30,executive/managerial
384,1,30,lawyer
385,1,30,doctor/health care
386,1,30,other
387,0,40,executive/managerial
388,0,30,other
389,1,30,doctor/health care
390,1,30,college/grad student
391,1,47,lawyer
392,1,21,executive/managerial
393,1,40,technician/engineer
394,1,21,other
395,1,21,customer service
396,1,30,academic/educator
397,1,40,technician/engineer
398,1,30,technician/engineer
399,0,40,doctor/health care
400,0,21,clerical/admin
401,1,21,other
402,1,30,lawyer
403,1,21,college/grad student
404,1,21,college/grad student
405,1,60,academic/educator
406,1,30,writer
407,1,21,technician/engineer
408,1,30,lawyer
409,1,21,programmer
410,0,30,academic/educator
411,0,47,academic/educator
412,1,40,scientist
413,1,30,lawyer
414,1,30,other
415,0,40,other
416,1,47,sales/marketing
417,0,30,other
418,0,30,clerical/admin
419,1,21,clerical/admin
420,1,40,academic/educator
421,0,47,clerical/admin
422,1,60,technician/engineer
423,1,21,college/grad student
424,1,30,technician/engineer
425,1,30,programmer
426,1,21,college/grad student
427,1,40,programmer
428,0,21,college/grad student
429,1,21,other
430,0,21,K-12 student
431,1,21,K-12 student
432,1,47,self-employed
433,1,53,doctor/health care
434,0,47,clerical/admin
435,1,30,executive/managerial
436,1,21,college/grad student
437,1,40,technician/engineer
438,1,21,lawyer
439,1,40,sales/marketing
440,1,60,academic/educator
441,1,40,academic/educator
442,1,30,academic/educator
443,1,30,clerical/admin
444,1,60,other
445,1,47,programmer
446,0,53,other
447,0,47,lawyer
448,1,30,technician/engineer
449,1,30,executive/managerial
450,1,47,academic/educator
451,1,60,retired
452,1,53,technician/engineer
453,1,21,college/grad student
454,1,30,writer
455,0,40,artist
456,1,40,other
457,1,21,college/grad student
458,1,53,self-employed
459,0,21,college/grad student
460,1,47,tradesman/craftsman
461,1,53,executive/managerial
462,1,21,self-employed
463,1,30,executive/managerial
464,0,21,college/grad student
