movie_id,title,genres,year,id,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,directorName,country,actorName
1,Toy Story,"('Animation', ""Children's"", 'Comedy')",1995,1,9,73,100,3.7,102338,81,John Lasseter,USA,"('Don Rickles', 'Jim Varney', 'Tim Allen', 'Tom Hanks', 'Wallace Shawn')"
2,Jumanji,"('Adventure', ""Children's"", 'Fantasy')",1995,2,5.6,28,46,3.2,44587,61,Joe Johnston,USA,"('Bebe Neuwirth', 'Bonnie Hunt', 'Bradley Pierce', 'Kirsten Dunst', 'Robin Williams')"
3,Grumpier Old Men,"('Comedy', 'Romance')",1995,3,5.9,36,66,3.2,10489,66,Donald Petrie,USA,"('Ann-Margret', 'Burgess Meredith', 'Daryl Hannah', 'Jack Lemmon', 'Walter Matthau')"
4,Waiting to Exhale,"('Comedy', 'Drama')",1995,4,5.6,25,56,3.3,5666,79,Forest Whitaker,USA,"('Angela Bassett', 'Gregory Hines', 'Lela Rochon', 'Loretta Devine', 'Whitney Houston')"
5,Father of the Bride Part II,"('Comedy',)",1995,5,5.3,19,47,3,13761,64,Charles Shyer,USA,"('Diane Keaton', 'George Newbern', 'Kimberly Williams', 'Martin Short', 'Steve Martin')"
6,Heat,"('Action', 'Crime', 'Thriller')",1995,6,7.7,58,86,3.9,42785,92,Michael Mann,USA,"('Al Pacino', 'Jon Voight', 'Robert De Niro', 'Tom Sizemore', 'Val Kilmer')"
7,Sabrina,"('Comedy', 'Romance')",1995,7,7.4,31,90,3.8,12812,87,Billy Wilder,USA,"('John Williams (II)', 'Audrey Hepburn', 'Humphrey Bogart', 'Walter Hampden', 'William Holden')"
8,Tom and Huck,"('Adventure', ""Children's"")",1995,8,4.2,8,25,2.7,2649,45,Peter Hewitt,USA,"('Amy Wright', 'Brad Renfro', 'Charles Rocket', 'Eric Schweig', 'Jonathan Taylor Thomas')"
9,Sudden Death,"('Action',)",1995,9,5.2,32,53,2.6,3626,40,Peter Hyams,USA,"('Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Ross Malinger', 'Whittni Wright')"
10,GoldenEye,"('Action', 'Adventure', 'Thriller')",1995,10,6.8,41,80,3.4,28260,78,Martin Campbell,UK,"('Famke Janssen', 'Izabella Scorupco', 'Joe Don Baker', 'Pierce Brosnan', 'Sean Bean')"
