movie_id,title,year,rtAllCriticsRating,rtAudienceRating,rtAllCriticsNumReviews,rtAudienceNumRatings,rtAllCriticsScore,rtAudienceScore,directorName,country
1,Toy Story,1995,9.0,3.7,73,102338,100,81,John Lasseter,USA
2,Jumanji,1995,5.6,3.2,28,44587,46,61,Joe Johnston,USA
3,Grumpier Old Men,1995,5.9,3.2,36,10489,66,66,Donald Petrie,USA
4,Waiting to Exhale,1995,5.6,3.3,25,5666,56,79,Forest Whitaker,USA
5,Father of the Bride Part II,1995,5.3,3.0,19,13761,47,64,Charles Shyer,USA
6,Heat,1995,7.7,3.9,58,42785,86,92,Michael Mann,USA
7,Sabrina,1995,7.4,3.8,31,12812,90,87,Billy Wilder,USA
8,Tom and Huck,1995,4.2,2.7,8,2649,25,45,Peter Hewitt,USA
9,Sudden Death,1995,5.2,2.6,32,3626,53,40,Peter Hyams,USA
10,GoldenEye,1995,6.8,3.4,41,28260,80,78,Martin Campbell,UK
11,"American President, The",1995,7.0,3.2,49,8320,89,71,Rob Reiner,USA
12,Dracula: Dead and Loving It,1995,3.0,2.8,35,10078,8,52,Mel Brooks,USA
13,Balto,1995,5.8,3.2,12,9195,50,66,Simon Wells,USA
14,Nixon,1995,6.7,3.5,56,3256,75,72,Oliver Stone,USA
15,Cutthroat Island,1995,4.4,2.6,31,3350,45,42,Renny Harlin,USA
16,Casino,1995,7.2,3.9,58,66463,81,91,Martin Scorsese,USA
17,Sense and Sensibility,1995,7.9,3.8,49,32782,97,88,Ang Lee,USA
18,Four Rooms,1995,3.5,3.5,42,14266,14,72,Alexandre Rockwell,USA
19,Ace Ventura: When Nature Calls,1995,4.1,3.2,25,87306,36,73,Steve Oedekerk,USA
20,Money Train,1995,4.0,2.7,24,5263,16,38,Joseph Ruben,USA
21,Get Shorty,1995,7.7,3.2,49,10155,85,63,Barry Sonnenfeld,USA
22,Copycat,1995,6.6,3.1,32,5628,75,58,Jon Amiel,USA
23,Assassins,1995,4.3,3.4,106,107023,25,58,James McTeigue,USA
24,Powder,1995,5.2,3.1,19,6650,47,67,Victor Salva,USA
25,Leaving Las Vegas,1995,7.7,3.6,45,12742,88,82,Mike Figgis,France
26,Othello,1995,6.3,3.3,38,2018,68,66,Oliver Parker,USA
27,Now and Then,1995,4.7,3.5,16,17168,18,78,Lesli Linka Glatter,USA
28,Persuasion,1995,7.7,3.9,23,7968,82,82,Roger Michell,UK
29,"City of Lost Children, The",1995,7.0,4.0,33,22420,81,89,Jean-Pierre Jeunet,France
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,6.8,3.6,21,1061,85,70,Yimou Zhang,France
31,Dangerous Minds,1995,4.7,3.1,37,12136,29,66,John N. Smith,USA
32,Twelve Monkeys,1995,0.0,0.0,0,0,0,0,Siddharth Randeria,USA
33,Wings of Courage,1995,0.0,0.0,4,0,50,0,Jean-Jacques Annaud,USA
34,Babe,1995,8.2,3.0,54,22954,98,54,Chris Noonan,Australia
35,Carrington,1995,6.2,3.5,19,781,47,68,Christopher Hampton,UK
36,Dead Man Walking,1995,8.2,3.6,53,15450,94,81,Tim Robbins,UK
37,Across the Sea of Time,1995,0.0,2.9,4,237,50,27,Stephan Low,USA
38,It Takes Two,1995,3.9,2.9,24,16311,8,63,Andy Tennant,USA
39,Clueless,1995,0.0,0.0,0,0,0,0,Andras Solyom,USA
40,"Cry, the Beloved Country",1995,7.2,3.5,13,520,76,66,Darrell Roodt,South Africa
41,Richard III,1995,8.1,3.7,43,1552,95,82,Richard Loncraine,UK
42,Dead Presidents,1995,5.7,3.3,31,4475,45,75,Albert Hughes,USA
43,Restoration,1995,6.3,3.3,31,1103,67,56,Michael Hoffman,USA
44,Mortal Kombat,1995,4.4,2.8,26,18291,34,55,Paul W.S. Anderson,USA
45,To Die For,1995,6.8,3.9,197,1145097,81,86,Len Wiseman,USA
46,How to Make an American Quilt,1995,5.6,3.2,22,2626,50,58,Jocelyn Moorhouse,USA
47,Seven (Se7en),1995,9.2,4.5,49,29509,100,97,Akira Kurosawa,Japan
48,Pocahontas,1995,6.0,3.2,49,37858,55,63,Mike Gabriel,USA
49,When Night Is Falling,1995,5.7,3.9,16,1132,50,83,Patricia Rozema,Canada
50,"Usual Suspects, The",1995,7.5,4.2,47,109588,87,95,Bryan Singer,USA
52,Mighty Aphrodite,1995,6.7,3.3,33,4866,75,69,Woody Allen,USA
53,Lamerica,1994,8.0,3.9,10,239,90,82,Gianni Amelio,Italy
54,"Big Green, The",1995,2.8,2.7,5,2596,0,47,Holly Goldberg Sloan,USA
55,Georgia,1995,3.8,3.0,116,64056,17,55,Garry Marshall,USA
56,Kids of the Round Table,1995,0.0,0.0,0,0,0,0,Robert Tinnell,USA
57,Home for the Holidays,1995,6.0,3.4,44,3045,63,69,Jodie Foster,USA
58,"Postino, Il (The Postman)",1994,7.9,4.1,25,5794,92,92,Michael Radford,Italy
59,"Confessional, The (Le Confessionnal)",1995,0.0,0.0,1,0,100,0,Robert Lepage,Canada
60,"Indian in the Cupboard, The",1995,6.2,2.7,19,5127,68,41,Frank Oz,USA
61,Eye for an Eye,1996,0.0,0.0,0,0,0,0,Sara Botsford,USA
62,Mr. Holland's Opus,1995,6.7,3.5,26,9569,73,79,Stephen Herek,USA
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,4.5,0.0,24,0,29,0,Paris Barclay,USA
64,Two if by Sea,1996,3.9,2.6,27,1608,11,29,Bill Bennett,USA
65,Bio-Dome,1996,1.9,2.6,21,8972,4,51,Jason Bloom,USA
66,Lawnmower Man 2: Beyond Cyberspace,1996,2.8,2.1,9,952,11,18,Farhad Mann,USA
67,Two Bits,1995,5.0,3.3,10,685,40,54,James Foley,USA
68,French Twist (Gazon maudit),1995,6.1,3.4,10,597,50,58,Josiane Balasko,France
69,Friday,1995,0.0,0.0,0,0,0,0,Marek Koterski,USA
70,From Dusk Till Dawn,1996,6.0,3.4,43,36073,62,75,Robert Rodriguez,USA
71,Fair Game,1995,2.4,2.1,24,1761,12,16,Andrew Sipes,USA
72,Kicking and Screaming,1995,5.1,3.0,137,14260,41,51,Jesse Dylan,USA
73,"Misï¿½rables, Les",1995,6.9,3.6,41,7310,75,81,Bille August,UK
74,Bed of Roses,1996,5.3,3.2,14,3163,21,66,Michael Goldenberg,USA
75,Big Bully,1996,2.8,2.4,7,1459,0,23,Steve Miner,USA
76,Screamers,1995,4.7,3.0,30,2070,30,45,Christian Duguay,Canada
77,Nico Icon,1995,7.1,4.0,13,87,84,85,Susanne Ofteringer,Germany
78,"Crossing Guard, The",1995,6.5,3.3,27,2170,74,56,Sean Penn,USA
