id,title,imdbID,genre
1,Toy story,114709,"Animation, Adventure, Comedy"
2,Jumanji,113497,"Action, Adventure, Family"
3,Grumpy Old Men,107050,"Comedy, Drama, Romance"
4,Waiting to Exhale,114885,"Comedy, Drama, Romance"
5,Father of the Bride Part II,113041,"Comedy, Family, Romance"
6,Heat,113277,"Action, Crime, Drama"
7,Sabrina,47437,"Comedy, Drama, Romance"
8,Tom and Huck,112302,"Adventure, Comedy, Drama"
9,Sudden Death,114576,"Action, Crime, Thriller"
10,GoldenEye,113189,"Action, Adventure, Thriller"
11,The American President,112346,"Comedy, Drama, Romance"
12,Dracula: Dead and Loving It,112896,"Comedy, Fantasy, Horror"
13,Balto,112453,"Animation, Adventure, Drama"
14,Nixon,113987,"Biography, Drama, History"
15,Cutthroat Island,112760,"Action, Adventure, Comedy"
16,Casino,112641,"Biography, Crime, Drama"
17,Sense and Sensibility,114388,"Drama, Romance"
18,Four Rooms,113101,Comedy
19,Ace Ventura: When Nature Calls,112281,"Adventure, Comedy"
20,Money Train,113845,"Action, Comedy, Crime"
21,Get Shorty,113161,"Comedy, Crime, Thriller"
22,Copycat,112722,"Mystery, Thriller"
23,Ninja Assassin,1186367,"Action, Crime, Thriller"
24,Powder,114168,"Drama, Fantasy, Mystery"
25,Leaving Las Vegas,113627,"Drama, Romance"
26,Othello,114057,"Drama, Romance"
27,Now and Then,114011,"Comedy, Drama, Romance"
28,Persuasion,114117,"Drama, Romance"
29,La cité des enfants perdus,112682,"Fantasy, Sci-Fi"
30,Yao a yao yao dao waipo qiao,115012,"Crime, Drama, Romance"
31,Dangerous Minds,112792,"Biography, Drama"
32,Twelve Monkeys,114746,"Mystery, Sci-Fi, Thriller"
33,Wings of Courage,114952,"Adventure, Romance"
34,Babe,112431,"Comedy, Drama, Family"
35,Carrington,112637,"Biography, Drama, Romance"
36,Dead Man Walking,112818,"Crime, Drama"
37,Across the Sea of Time,112286,"Adventure, Drama, Family"
38,It Takes Two,113442,"Comedy, Family, Romance"
39,Clueless,112697,"Comedy, Romance"
40,"Cry, the Beloved Country",112749,"Drama, Thriller"
41,Richard III,114279,"Drama, War"
42,Dead Presidents,112819,"Action, Crime, Drama"
43,Restoration,114272,"Biography, Drama, History"
44,Mortal Kombat,113855,"Action, Adventure, Fantasy"
45,Live Free or Die Hard,337978,"Action, Adventure, Thriller"
46,How to Make an American Quilt,113347,"Comedy, Drama, Romance"
47,Shichinin no samurai,47478,"Action, Adventure, Drama"
48,Pocahontas,114148,"Animation, Adventure, Drama"
49,When Night Is Falling,114916,"Drama, Romance"
50,The Usual Suspects,114814,"Crime, Drama, Mystery"
52,Mighty Aphrodite,113819,"Comedy, Fantasy, Romance"
53,Lamerica,110299,Drama
54,The Big Green,112499,"Comedy, Family, Sport"
55,Georgia Rule,791304,"Comedy, Drama"
56,Kids of the Round Table,113541,"Adventure, Comedy, Family"
57,Home for the Holidays,113321,"Comedy, Drama, Romance"
58,Il postino,110877,"Biography, Comedy, Drama"
59,Le confessionnal,112714,"Drama, Mystery, Thriller"
