user_id,gender,age,occupation
1,F,12,K-12 student
2,M,60,self-employed
3,M,30,scientist
4,M,47,executive/managerial
5,M,30,writer
6,F,53,homemaker
7,M,40,academic/educator
8,M,30,programmer
9,M,30,technician/engineer
10,F,40,academic/educator
11,F,30,academic/educator
12,M,30,programmer
13,M,47,academic/educator
14,M,40,other
15,M,30,executive/managerial
16,F,40,other
17,M,53,academic/educator
18,F,21,clerical/admin
19,M,12,K-12 student
20,M,30,sales/marketing
21,M,21,self-employed
22,M,21,scientist
23,M,40,other
24,F,30,executive/managerial
25,M,21,college/grad student
26,M,30,executive/managerial
27,M,30,lawyer
28,F,30,academic/educator
29,M,40,executive/managerial
30,F,40,executive/managerial
31,M,60,executive/managerial
32,F,30,other
33,M,47,clerical/admin
34,F,21,other
35,M,47,academic/educator
36,M,30,clerical/admin
37,F,30,homemaker
38,F,21,college/grad student
39,M,21,college/grad student
40,M,47,other
41,F,21,college/grad student
42,M,30,farmer
43,M,30,programmer
44,M,47,technician/engineer
45,F,47,self-employed
46,M,21,unemployed
47,M,21,college/grad student
48,M,30,college/grad student
49,M,21,programmer
50,F,30,artist
51,F,12,K-12 student
52,M,21,college/grad student
53,M,30,other
54,M,53,academic/educator
55,F,40,programmer
56,M,40,writer
57,M,21,unemployed
58,M,30,artist
59,F,53,academic/educator
60,M,53,academic/educator
61,M,30,technician/engineer
62,F,40,clerical/admin
63,M,21,college/grad student
64,M,21,academic/educator
65,M,40,programmer
66,M,30,tradesman/craftsman
67,F,53,customer service
68,M,21,college/grad student
69,F,30,academic/educator
70,M,21,college/grad student
71,M,30,sales/marketing
72,F,47,other
73,M,21,college/grad student
74,M,40,sales/marketing
75,F,12,K-12 student
76,M,40,executive/managerial
77,M,21,college/grad student
78,F,47,academic/educator
79,F,47,other
80,M,60,academic/educator
81,F,30,other
82,M,30,technician/engineer
83,F,30,artist
84,M,21,college/grad student
85,M,21,college/grad student
86,F,12,K-12 student
87,M,30,sales/marketing
88,F,47,academic/educator
89,F,60,homemaker
90,M,60,retired
91,M,40,executive/managerial
92,F,21,college/grad student
93,M,30,technician/engineer
94,M,30,technician/engineer
95,M,47,other
96,F,30,self-employed
97,F,40,clerical/admin
98,F,40,executive/managerial
99,F,12,K-12 student
100,M,40,technician/engineer
101,F,21,clerical/admin
102,M,40,unemployed
103,M,47,executive/managerial
104,M,30,programmer
105,M,47,programmer
106,F,40,lawyer
107,M,47,tradesman/craftsman
108,M,30,programmer
109,M,47,scientist
110,M,30,artist
111,M,40,scientist
112,M,30,self-employed
113,M,21,programmer
114,F,30,artist
115,M,30,technician/engineer
116,M,30,technician/engineer
117,M,30,technician/engineer
118,M,40,technician/engineer
119,F,12,K-12 student
120,M,30,lawyer
121,M,40,executive/managerial
122,F,21,college/grad student
123,M,40,homemaker
124,M,60,executive/managerial
125,M,47,sales/marketing
126,M,21,homemaker
127,F,47,clerical/admin
128,M,60,doctor/health care
129,M,30,lawyer
130,M,40,technician/engineer
131,M,21,college/grad student
132,M,30,technician/engineer
133,F,30,other
134,M,30,other
135,M,21,college/grad student
136,M,21,artist
137,F,47,doctor/health care
138,M,21,writer
139,F,30,writer
140,F,40,academic/educator
141,M,40,retired
142,M,30,executive/managerial
143,M,21,clerical/admin
144,M,30,technician/engineer
145,M,21,college/grad student
146,F,40,writer
147,M,21,college/grad student
148,M,53,technician/engineer
149,M,30,academic/educator
150,M,40,executive/managerial
151,F,30,writer
152,M,21,college/grad student
153,M,12,K-12 student
154,M,53,writer
155,M,40,programmer
156,F,47,executive/managerial
157,M,40,self-employed
158,M,60,executive/managerial
159,F,47,other
160,M,40,executive/managerial
161,M,47,self-employed
162,F,21,college/grad student
163,M,21,college/grad student
164,F,60,retired
165,M,21,self-employed
166,M,21,college/grad student
167,F,30,lawyer
168,F,53,other
169,M,30,executive/managerial
170,M,30,lawyer
171,F,53,technician/engineer
172,M,30,clerical/admin
173,M,30,other
174,M,30,self-employed
175,F,30,artist
176,F,21,clerical/admin
177,M,53,academic/educator
178,M,60,technician/engineer
179,M,30,other
180,M,47,programmer
181,M,21,technician/engineer
182,M,21,college/grad student
183,F,47,academic/educator
184,F,30,other
185,M,47,other
186,M,21,customer service
187,F,47,academic/educator
188,M,60,self-employed
189,M,21,other
190,M,30,technician/engineer
191,M,21,college/grad student
192,M,21,academic/educator
193,F,47,scientist
194,F,12,K-12 student
195,M,30,programmer
196,F,40,homemaker
197,M,21,sales/marketing
198,M,30,programmer
199,M,21,college/grad student
200,F,21,college/grad student
201,F,40,artist
202,M,21,college/grad student
203,F,21,college/grad student
204,M,30,executive/managerial
205,M,40,programmer
206,M,30,technician/engineer
207,M,30,programmer
208,M,40,technician/engineer
209,M,40,academic/educator
210,F,12,K-12 student
211,M,47,technician/engineer
212,M,30,self-employed
213,F,21,college/grad student
214,M,21,writer
215,M,40,sales/marketing
216,M,47,retired
217,M,21,college/grad student
218,M,40,sales/marketing
219,F,30,college/grad student
220,M,30,programmer
221,F,30,other
222,M,30,academic/educator
223,M,30,technician/engineer
224,F,21,college/grad student
225,M,30,executive/managerial
226,M,40,academic/educator
227,M,40,writer
228,M,30,scientist
229,M,21,K-12 student
230,M,47,academic/educator
231,M,30,clerical/admin
232,M,30,writer
233,F,47,writer
234,M,40,executive/managerial
235,M,30,other
236,M,30,customer service
237,M,30,doctor/health care
238,F,53,executive/managerial
239,M,21,unemployed
240,M,53,technician/engineer
241,M,40,writer
242,F,21,college/grad student
243,M,30,self-employed
244,M,53,executive/managerial
245,M,40,self-employed
246,F,21,college/grad student
247,M,30,technician/engineer
248,M,21,technician/engineer
249,F,21,sales/marketing
250,M,40,self-employed
251,M,60,technician/engineer
252,M,30,programmer
253,F,30,lawyer
254,M,40,technician/engineer
255,M,40,other
256,M,47,self-employed
257,M,21,tradesman/craftsman
258,M,30,executive/managerial
259,M,30,academic/educator
260,M,21,unemployed
261,M,30,writer
262,F,30,academic/educator
263,F,30,executive/managerial
264,M,40,other
265,F,40,executive/managerial
266,M,40,lawyer
267,M,47,programmer
268,F,21,programmer
269,M,30,artist
270,M,53,sales/marketing
271,M,21,college/grad student
272,M,21,other
273,M,21,college/grad student
274,M,21,college/grad student
275,M,30,other
276,M,47,self-employed
277,F,40,academic/educator
278,M,47,tradesman/craftsman
279,M,30,sales/marketing
280,M,53,executive/managerial
281,F,40,other
282,M,30,technician/engineer
283,M,30,other
284,M,30,programmer
285,F,40,other
286,M,30,academic/educator
287,M,53,retired
288,F,30,programmer
289,F,30,other
290,F,30,writer
291,M,40,programmer
292,M,40,executive/managerial
293,M,60,academic/educator
294,F,47,homemaker
295,M,21,other
296,M,53,customer service
297,M,21,artist
298,F,21,college/grad student
299,M,30,programmer
300,M,30,executive/managerial
301,M,21,college/grad student
302,M,21,college/grad student
303,M,30,executive/managerial
304,M,30,other
305,F,21,other
306,M,21,other
307,M,53,self-employed
308,M,30,artist
309,M,30,college/grad student
310,F,21,college/grad student
311,M,21,college/grad student
312,F,53,artist
313,F,21,college/grad student
314,F,60,homemaker
315,F,60,academic/educator
316,M,60,retired
317,M,40,executive/managerial
318,F,60,retired
319,F,53,doctor/health care
320,M,40,doctor/health care
321,M,21,college/grad student
322,M,60,technician/engineer
323,M,47,programmer
324,M,40,technician/engineer
325,F,53,clerical/admin
326,M,53,lawyer
327,M,40,tradesman/craftsman
328,M,40,programmer
329,M,40,executive/managerial
330,M,60,executive/managerial
331,M,30,executive/managerial
332,M,53,academic/educator
333,M,40,artist
334,F,60,artist
335,M,40,tradesman/craftsman
336,M,21,other
337,M,21,unemployed
338,M,40,executive/managerial
339,M,53,executive/managerial
340,F,30,clerical/admin
341,F,60,retired
342,M,21,programmer
343,F,40,clerical/admin
344,M,40,sales/marketing
345,M,30,programmer
346,F,30,other
347,F,60,academic/educator
348,M,53,executive/managerial
349,M,12,K-12 student
350,M,47,writer
351,M,21,college/grad student
352,M,21,college/grad student
353,F,40,executive/managerial
354,M,40,academic/educator
355,M,21,clerical/admin
356,M,60,writer
357,M,21,other
358,F,60,academic/educator
359,M,30,technician/engineer
360,M,40,technician/engineer
361,F,30,sales/marketing
362,M,40,writer
363,M,21,K-12 student
364,F,40,academic/educator
365,F,21,college/grad student
366,M,53,scientist
367,M,53,programmer
368,M,30,other
369,M,40,academic/educator
370,M,21,technician/engineer
371,M,21,college/grad student
372,F,21,college/grad student
373,F,30,artist
374,F,40,sales/marketing
375,M,30,artist
376,M,40,academic/educator
377,M,30,technician/engineer
378,F,21,other
379,F,40,academic/educator
380,M,30,artist
381,M,40,technician/engineer
382,F,40,writer
383,F,30,executive/managerial
384,M,30,lawyer
385,M,30,doctor/health care
386,M,30,other
387,F,40,executive/managerial
388,F,30,other
389,M,30,doctor/health care
390,M,30,college/grad student
391,M,47,lawyer
392,M,21,executive/managerial
393,M,40,technician/engineer
394,M,21,other
395,M,21,customer service
396,M,30,academic/educator
397,M,40,technician/engineer
398,M,30,technician/engineer
399,F,40,doctor/health care
400,F,21,clerical/admin
401,M,21,other
402,M,30,lawyer
403,M,21,college/grad student
404,M,21,college/grad student
405,M,60,academic/educator
406,M,30,writer
407,M,21,technician/engineer
408,M,30,lawyer
409,M,21,programmer
410,F,30,academic/educator
411,F,47,academic/educator
412,M,40,scientist
413,M,30,lawyer
414,M,30,other
415,F,40,other
416,M,47,sales/marketing
417,F,30,other
418,F,30,clerical/admin
419,M,21,clerical/admin
420,M,40,academic/educator
421,F,47,clerical/admin
422,M,60,technician/engineer
423,M,21,college/grad student
424,M,30,technician/engineer
425,M,30,programmer
426,M,21,college/grad student
427,M,40,programmer
428,F,21,college/grad student
429,M,21,other
430,F,21,K-12 student
431,M,21,K-12 student
432,M,47,self-employed
433,M,53,doctor/health care
434,F,47,clerical/admin
435,M,30,executive/managerial
436,M,21,college/grad student
437,M,40,technician/engineer
438,M,21,lawyer
439,M,40,sales/marketing
440,M,60,academic/educator
441,M,40,academic/educator
442,M,30,academic/educator
443,M,30,clerical/admin
444,M,60,other
445,M,47,programmer
446,F,53,other
447,F,47,lawyer
448,M,30,technician/engineer
449,M,30,executive/managerial
450,M,47,academic/educator
451,M,60,retired
452,M,53,technician/engineer
453,M,21,college/grad student
454,M,30,writer
455,F,40,artist
456,M,40,other
